PERMNO	date	COMNAM	RET
49154	8/2/2023	TARGET CORP	0.004136
49154	8/3/2023	TARGET CORP	-0.006066
49154	8/4/2023	TARGET CORP	-0.001507
49154	8/7/2023	TARGET CORP	-0.004452
49154	8/8/2023	TARGET CORP	-0.007276
49154	8/9/2023	TARGET CORP	-0.002901
49154	8/10/2023	TARGET CORP	0.00245
49154	8/11/2023	TARGET CORP	0.000993
49154	8/14/2023	TARGET CORP	-0.012438
49154	8/15/2023	TARGET CORP	-0.025267
49154	8/16/2023	TARGET CORP	0.029588
49154	8/17/2023	TARGET CORP	0.010563
49154	8/18/2023	TARGET CORP	0.008454
49154	8/21/2023	TARGET CORP	-0.026065
49154	8/22/2023	TARGET CORP	-0.022302
49154	8/23/2023	TARGET CORP	-0.013847
49154	8/24/2023	TARGET CORP	0.007223
49154	8/25/2023	TARGET CORP	-0.018614
49154	8/28/2023	TARGET CORP	0.013466
49154	8/29/2023	TARGET CORP	0.022118
49154	8/30/2023	TARGET CORP	0.006262
49154	8/31/2023	TARGET CORP	-0.003151
49154	9/1/2023	TARGET CORP	-0.008139
49154	9/5/2023	TARGET CORP	-0.002629
49154	9/6/2023	TARGET CORP	-0.011822
49154	9/7/2023	TARGET CORP	0.006063
49154	9/8/2023	TARGET CORP	-0.006187
49154	9/11/2023	TARGET CORP	-0.008246
49154	9/12/2023	TARGET CORP	-0.002201
49154	9/13/2023	TARGET CORP	0.00433
49154	9/14/2023	TARGET CORP	0.014968
49154	9/15/2023	TARGET CORP	-0.013785
49154	9/18/2023	TARGET CORP	-0.03015
49154	9/19/2023	TARGET CORP	0.006955
49154	9/20/2023	TARGET CORP	0.001997
49154	9/21/2023	TARGET CORP	-0.025662
49154	9/22/2023	TARGET CORP	-0.040232
49154	9/25/2023	TARGET CORP	-0.00302
49154	9/26/2023	TARGET CORP	-0.024764
49154	9/27/2023	TARGET CORP	0.002375
49154	9/28/2023	TARGET CORP	-0.00164
49154	9/29/2023	TARGET CORP	0.009219
49154	10/2/2023	TARGET CORP	-0.035091
49154	10/3/2023	TARGET CORP	0.004405
49154	10/4/2023	TARGET CORP	-0.005039
49154	10/5/2023	TARGET CORP	-0.013787
49154	10/6/2023	TARGET CORP	-0.001331
49154	10/9/2023	TARGET CORP	0.007142
49154	10/10/2023	TARGET CORP	0.036592
49154	10/11/2023	TARGET CORP	-0.005838
49154	10/12/2023	TARGET CORP	0.016607
49154	10/13/2023	TARGET CORP	0.01065
49154	10/16/2023	TARGET CORP	-0.005269
49154	10/17/2023	TARGET CORP	0.010504
49154	10/18/2023	TARGET CORP	-0.020878
49154	10/19/2023	TARGET CORP	-0.016786
49154	10/20/2023	TARGET CORP	0.004337
49154	10/23/2023	TARGET CORP	-0.012956
49154	10/24/2023	TARGET CORP	0.01173
49154	10/25/2023	TARGET CORP	0.015458
49154	10/26/2023	TARGET CORP	0.004621
49154	10/27/2023	TARGET CORP	-0.032831
49154	10/30/2023	TARGET CORP	0.013429
49154	10/31/2023	TARGET CORP	0.019509
49154	11/1/2023	TARGET CORP	-0.011283
49154	11/2/2023	TARGET CORP	0.013967
49154	11/3/2023	TARGET CORP	0.016026
49154	11/6/2023	TARGET CORP	-0.01595
49154	11/7/2023	TARGET CORP	0.002701
49154	11/8/2023	TARGET CORP	-0.013471
49154	11/9/2023	TARGET CORP	-0.027856
49154	11/10/2023	TARGET CORP	0.014421
49154	11/13/2023	TARGET CORP	-0.009508
49154	11/14/2023	TARGET CORP	0.042777
49154	11/15/2023	TARGET CORP	0.177543
49154	11/16/2023	TARGET CORP	-0.003986
49154	11/17/2023	TARGET CORP	-0.000385
49154	11/20/2023	TARGET CORP	-0.001848
49154	11/21/2023	TARGET CORP	0.00887
49154	11/22/2023	TARGET CORP	-0.002294
49154	11/24/2023	TARGET CORP	0.007356
49154	11/27/2023	TARGET CORP	-0.000989
49154	11/28/2023	TARGET CORP	0.002589
49154	11/29/2023	TARGET CORP	-0.002658
49154	11/30/2023	TARGET CORP	0.018961
49154	12/1/2023	TARGET CORP	0.007249
49154	12/4/2023	TARGET CORP	-0.007939
49154	12/5/2023	TARGET CORP	-0.006207
49154	12/6/2023	TARGET CORP	0.003763
49154	12/7/2023	TARGET CORP	0.01357
49154	12/8/2023	TARGET CORP	0
49154	12/11/2023	TARGET CORP	0.011613
49154	12/12/2023	TARGET CORP	-0.008043
49154	12/13/2023	TARGET CORP	0.02005
49154	12/14/2023	TARGET CORP	0.019945
49154	12/15/2023	TARGET CORP	-0.019626
49154	12/18/2023	TARGET CORP	-0.004698
49154	12/19/2023	TARGET CORP	0.013506
49154	12/20/2023	TARGET CORP	-0.019201
49154	12/21/2023	TARGET CORP	0.018042
49154	12/22/2023	TARGET CORP	0.005955
49154	12/26/2023	TARGET CORP	0.00592
49154	12/27/2023	TARGET CORP	0.009572
49154	12/28/2023	TARGET CORP	0.001124
49154	12/29/2023	TARGET CORP	-0.000842
49154	1/2/2024	TARGET CORP	0.004775
49154	1/3/2024	TARGET CORP	-0.030957
49154	1/4/2024	TARGET CORP	0.011394
49154	1/5/2024	TARGET CORP	0.003565
49154	1/8/2024	TARGET CORP	0.006963
49154	1/9/2024	TARGET CORP	0.014394
49154	1/10/2024	TARGET CORP	0.002226
49154	1/11/2024	TARGET CORP	-0.014366
49154	1/12/2024	TARGET CORP	-0.007816
49154	1/16/2024	TARGET CORP	0.001136
49154	1/17/2024	TARGET CORP	-0.016517
49154	1/18/2024	TARGET CORP	-0.009658
49154	1/19/2024	TARGET CORP	0.005386
49154	1/22/2024	TARGET CORP	0.016071
49154	1/23/2024	TARGET CORP	0.003705
49154	1/24/2024	TARGET CORP	-0.011925
49154	1/25/2024	TARGET CORP	0.021408
49154	1/26/2024	TARGET CORP	0.002462
49154	1/29/2024	TARGET CORP	-0.007086
49154	1/30/2024	TARGET CORP	-0.007066
49154	1/31/2024	TARGET CORP	-0.010248
49154	2/1/2024	TARGET CORP	0.038395
49154	2/2/2024	TARGET CORP	0.007409
49154	2/5/2024	TARGET CORP	-0.02172
49154	2/6/2024	TARGET CORP	0.014754
49154	2/7/2024	TARGET CORP	0.015925
49154	2/8/2024	TARGET CORP	0.004566
49154	2/9/2024	TARGET CORP	-0.005902
49154	2/12/2024	TARGET CORP	0.019586
49154	2/13/2024	TARGET CORP	-0.022021
49154	2/14/2024	TARGET CORP	-0.007392
49154	2/15/2024	TARGET CORP	0.008964
49154	2/16/2024	TARGET CORP	0.022415
49154	2/20/2024	TARGET CORP	0.009224
49154	2/21/2024	TARGET CORP	-0.007339
49154	2/22/2024	TARGET CORP	0.010417
49154	2/23/2024	TARGET CORP	0.007583
49154	2/26/2024	TARGET CORP	-0.00878
49154	2/27/2024	TARGET CORP	0.012254
49154	2/28/2024	TARGET CORP	-0.003619
49154	2/29/2024	TARGET CORP	0.009773
49154	3/1/2024	TARGET CORP	0.015498
49154	3/4/2024	TARGET CORP	-0.03091
49154	3/5/2024	TARGET CORP	0.120207
49154	3/6/2024	TARGET CORP	0.029422
49154	3/7/2024	TARGET CORP	-0.011525
49154	3/8/2024	TARGET CORP	-0.01061
49154	3/11/2024	TARGET CORP	-0.009722
49154	3/12/2024	TARGET CORP	-0.002975
49154	3/13/2024	TARGET CORP	-0.005371
49154	3/14/2024	TARGET CORP	-0.01416
49154	3/15/2024	TARGET CORP	-0.000548
49154	3/18/2024	TARGET CORP	0.020521
49154	3/19/2024	TARGET CORP	0.0037
49154	3/20/2024	TARGET CORP	0.013376
49154	3/21/2024	TARGET CORP	-0.001701
49154	3/22/2024	TARGET CORP	-0.00905
49154	3/25/2024	TARGET CORP	0.023898
49154	3/26/2024	TARGET CORP	-0.000116
49154	3/27/2024	TARGET CORP	0.011759
49154	3/28/2024	TARGET CORP	0.014542
49154	4/1/2024	TARGET CORP	0.003442
